2025-12-27T10:57:35.094367803Z [err]      at Module._compile (node:internal/modules/cjs/loader:1546:14)
2025-12-27T10:57:35.094373712Z [err]      at Object..js (node:internal/modules/cjs/loader:1689:10)
2025-12-27T10:57:35.094379485Z [err]      at Module.load (node:internal/modules/cjs/loader:1318:32)
2025-12-27T10:57:35.094384954Z [err]      at Function._load (node:internal/modules/cjs/loader:1128:12)
2025-12-27T10:57:35.094391674Z [err]      at TracingChannel.traceSync (node:diagnostics_channel:315:14)
2025-12-27T10:57:35.997840273Z [inf]  🔧 [app.js] File loading started...
2025-12-27T10:57:36.095259091Z [inf]  ✅ [app.js] express loaded
2025-12-27T10:57:36.095269251Z [inf]  ✅ [app.js] cors loaded
2025-12-27T10:57:36.095276306Z [inf]  ✅ [app.js] helmet loaded
2025-12-27T10:57:36.095283786Z [inf]  ✅ [app.js] express-rate-limit loaded
2025-12-27T10:57:36.097646032Z [inf]  ✅ [app.js] express-session loaded
2025-12-27T10:57:36.247807339Z [inf]  ✅ [app.js] connect-session-sequelize loaded
2025-12-27T10:57:36.250931335Z [inf]  ✅ [app.js] dotenv configured
2025-12-27T10:57:36.250942429Z [inf]  🛠️ [app.js] About to load models...
2025-12-27T10:57:36.329697990Z [inf]  ✅ Sequelize initialized for production environment
2025-12-27T10:57:36.329702853Z [inf]  📍 Database: railway at mysql.railway.internal:3306
2025-12-27T10:57:36.360639387Z [inf]  ✅ [app.js] models loaded
2025-12-27T10:57:36.360646276Z [inf]  🛠️ [app.js] About to load middleware...
2025-12-27T10:57:36.390690646Z [inf]  ✅ [app.js] logger loaded
2025-12-27T10:57:36.390697029Z [inf]  ✅ [app.js] errorHandler loaded
2025-12-27T10:57:36.938023904Z [inf]  🔧 [movieRoutes.js] File loading started...
2025-12-27T10:57:36.938039632Z [err]      at new module.exports (/app/node_modules/@hapi/hoek/lib/error.js:23:19)
2025-12-27T10:57:36.938040753Z [inf]  ✅ [movieRoutes.js] express loaded
2025-12-27T10:57:36.938051107Z [inf]  ✅ [movieRoutes.js] movieController loaded
2025-12-27T10:57:36.938053928Z [inf]  ✅ [app.js] requestValidator loaded
2025-12-27T10:57:36.938054425Z [err]      at module.exports (/app/node_modules/@hapi/hoek/lib/assert.js:21:11)
2025-12-27T10:57:36.938061325Z [inf]  ✅ [movieRoutes.js] requestValidator loaded
2025-12-27T10:57:36.938066328Z [err]      at exports.Ids.internals.Ids.reach (/app/node_modules/joi/lib/modify.js:85:9)
2025-12-27T10:57:36.938066891Z [inf]  🛠️ [app.js] About to load routes...
2025-12-27T10:57:36.938072993Z [err]      at Module.load (node:internal/modules/cjs/loader:1318:32)
2025-12-27T10:57:36.938073199Z [inf]  ✅ [movieRoutes.js] errorHandler loaded
2025-12-27T10:57:36.938081321Z [err]      at internals.Base.extract (/app/node_modules/joi/lib/base.js:457:26)
2025-12-27T10:57:36.938084295Z [inf]  ✅ [movieRoutes.js] Router created
2025-12-27T10:57:36.938094142Z [inf]  🎉 [movieRoutes.js] ALL IMPORTS SUCCESSFUL!
2025-12-27T10:57:36.938094275Z [err]      at Object.<anonymous> (/app/src/routes/movieRoutes.js:58:39)
2025-12-27T10:57:36.938099327Z [err]      at Function._load (node:internal/modules/cjs/loader:1128:12)
2025-12-27T10:57:36.938110001Z [err]      at Module._compile (node:internal/modules/cjs/loader:1546:14)
2025-12-27T10:57:36.938121992Z [err]      at TracingChannel.traceSync (node:diagnostics_channel:315:14)
2025-12-27T10:57:36.938122258Z [err]      at Object..js (node:internal/modules/cjs/loader:1689:10)
2025-12-27T10:57:36.938128273Z [err]  ❌ [app.js] FAILED to load movieRoutes: Schema does not contain path page
2025-12-27T10:57:36.938140492Z [err]  Stack: Error: Schema does not contain path page
2025-12-27T10:57:36.943391480Z [err]  ❌ UNCAUGHT EXCEPTION:
2025-12-27T10:57:36.943399458Z [err]  Name: Error
2025-12-27T10:57:36.943405084Z [err]  Message: Schema does not contain path page
2025-12-27T10:57:36.943410148Z [err]  Stack: Error: Schema does not contain path page
2025-12-27T10:57:36.943416438Z [err]      at new module.exports (/app/node_modules/@hapi/hoek/lib/error.js:23:19)
2025-12-27T10:57:36.943421293Z [err]      at module.exports (/app/node_modules/@hapi/hoek/lib/assert.js:21:11)
2025-12-27T10:57:36.943425897Z [err]      at exports.Ids.internals.Ids.reach (/app/node_modules/joi/lib/modify.js:85:9)
2025-12-27T10:57:36.943430352Z [err]      at internals.Base.extract (/app/node_modules/joi/lib/base.js:457:26)
2025-12-27T10:57:36.943434832Z [err]      at Object.<anonymous> (/app/src/routes/movieRoutes.js:58:39)
2025-12-27T10:57:36.943439541Z [err]      at Module._compile (node:internal/modules/cjs/loader:1546:14)
2025-12-27T10:57:36.943444639Z [err]      at Object..js (node:internal/modules/cjs/loader:1689:10)
2025-12-27T10:57:36.943449527Z [err]      at Module.load (node:internal/modules/cjs/loader:1318:32)
2025-12-27T10:57:36.943454695Z [err]      at Function._load (node:internal/modules/cjs/loader:1128:12)
2025-12-27T10:57:36.943459880Z [err]      at TracingChannel.traceSync (node:diagnostics_channel:315:14)
2025-12-27T10:57:37.354076482Z [inf]  🔧 [app.js] File loading started...
2025-12-27T10:57:37.887162652Z [err]      at Function._load (node:internal/modules/cjs/loader:1128:12)
2025-12-27T10:57:37.887171258Z [err]      at TracingChannel.traceSync (node:diagnostics_channel:315:14)
2025-12-27T10:57:37.887179357Z [err]  ❌ UNCAUGHT EXCEPTION:
2025-12-27T10:57:37.887188370Z [err]  Name: Error
2025-12-27T10:57:37.887197836Z [err]  Message: Schema does not contain path page
2025-12-27T10:57:37.887208053Z [err]  Stack: Error: Schema does not contain path page
2025-12-27T10:57:37.887216214Z [err]      at new module.exports (/app/node_modules/@hapi/hoek/lib/error.js:23:19)
2025-12-27T10:57:37.887258614Z [err]      at module.exports (/app/node_modules/@hapi/hoek/lib/assert.js:21:11)
2025-12-27T10:57:37.887259078Z [err]      at new module.exports (/app/node_modules/@hapi/hoek/lib/error.js:23:19)
2025-12-27T10:57:37.887265816Z [err]      at exports.Ids.internals.Ids.reach (/app/node_modules/joi/lib/modify.js:85:9)
2025-12-27T10:57:37.887267013Z [err]      at module.exports (/app/node_modules/@hapi/hoek/lib/assert.js:21:11)
2025-12-27T10:57:37.887273677Z [err]      at internals.Base.extract (/app/node_modules/joi/lib/base.js:457:26)
2025-12-27T10:57:37.887277208Z [err]      at exports.Ids.internals.Ids.reach (/app/node_modules/joi/lib/modify.js:85:9)
2025-12-27T10:57:37.887280858Z [err]      at Object.<anonymous> (/app/src/routes/movieRoutes.js:58:39)
2025-12-27T10:57:37.887286502Z [err]      at internals.Base.extract (/app/node_modules/joi/lib/base.js:457:26)
2025-12-27T10:57:37.887288055Z [err]      at Module._compile (node:internal/modules/cjs/loader:1546:14)
2025-12-27T10:57:37.887294433Z [err]      at Object.<anonymous> (/app/src/routes/movieRoutes.js:58:39)
2025-12-27T10:57:37.887303277Z [err]      at Module._compile (node:internal/modules/cjs/loader:1546:14)
2025-12-27T10:57:37.887311037Z [err]      at Object..js (node:internal/modules/cjs/loader:1689:10)
